,game_time,game_date,arena,home_team,home_wins,home_losses,away_team,away_wins,away_losses,attendance
0,0 days 20:01:00,2017-10-17,Quicken Loans Arena,Cleveland Cavaliers,1,0,Boston Celtics,0,1,20562
1,0 days 22:30:00,2017-10-17,Oracle Arena,Golden State Warriors,0,1,Houston Rockets,1,0,19596
2,0 days 19:30:00,2017-10-18,TD Garden,Boston Celtics,0,2,Milwaukee Bucks,1,0,18624
3,0 days 20:30:00,2017-10-18,American Airlines Center,Dallas Mavericks,0,1,Atlanta Hawks,1,0,19709
4,0 days 19:00:00,2017-10-18,Little Caesars Arena,Detroit Pistons,1,0,Charlotte Hornets,0,1,20491
5,0 days 19:00:00,2017-10-18,Bankers Life Fieldhouse,Indiana Pacers,1,0,Brooklyn Nets,0,1,15008
6,0 days 20:00:00,2017-10-18,FedEx Forum,Memphis Grizzlies,1,0,New Orleans Pelicans,0,1,17794
7,0 days 19:00:00,2017-10-18,Amway Center,Orlando Magic,1,0,Miami Heat,0,1,18846
8,0 days 22:00:00,2017-10-18,Talking Stick Resort Arena,Phoenix Suns,0,1,Portland Trail Blazers,1,0,18055
9,0 days 22:00:00,2017-10-18,Golden 1 Center,Sacramento Kings,0,1,Houston Rockets,2,0,17583
10,0 days 21:30:00,2017-10-18,AT&T Center,San Antonio Spurs,1,0,Minnesota Timberwolves,0,1,18418
11,0 days 21:00:00,2017-10-18,Vivint Smart Home Arena,Utah Jazz,1,0,Denver Nuggets,0,1,17588
12,0 days 19:00:00,2017-10-18,Capital One Arena,Washington Wizards,1,0,Philadelphia 76ers,0,1,20356
13,0 days 22:30:00,2017-10-19,STAPLES Center,Los Angeles Lakers,0,1,Los Angeles Clippers,1,0,18997
14,0 days 20:00:00,2017-10-19,Chesapeake Energy Arena,Oklahoma City Thunder,1,0,New York Knicks,0,1,18203
15,0 days 19:30:00,2017-10-19,Air Canada Centre,Toronto Raptors,1,0,Chicago Bulls,0,1,19800
16,0 days 19:30:00,2017-10-20,Barclays Center,Brooklyn Nets,1,1,Orlando Magic,1,1,16144
17,0 days 19:00:00,2017-10-20,Spectrum Center,Charlotte Hornets,1,1,Atlanta Hawks,1,1,18417
18,0 days 20:30:00,2017-10-20,American Airlines Center,Dallas Mavericks,0,2,Sacramento Kings,1,1,19273
19,0 days 19:00:00,2017-10-20,Bankers Life Fieldhouse,Indiana Pacers,1,1,Portland Trail Blazers,2,0,15325
20,0 days 19:00:00,2017-10-20,BMO Harris Bradley Center,Milwaukee Bucks,1,1,Cleveland Cavaliers,2,0,18717
21,0 days 20:00:00,2017-10-20,Target Center,Minnesota Timberwolves,1,1,Utah Jazz,1,1,18978
22,0 days 21:30:00,2017-10-20,Smoothie King Center,New Orleans Pelicans,0,2,Golden State Warriors,1,1,18171
23,0 days 19:00:00,2017-10-20,Wells Fargo Center,Philadelphia 76ers,0,2,Boston Celtics,1,2,20816
24,0 days 22:00:00,2017-10-20,Talking Stick Resort Arena,Phoenix Suns,0,2,Los Angeles Lakers,1,1,18055
25,0 days 19:00:00,2017-10-20,Capital One Arena,Washington Wizards,2,0,Detroit Pistons,1,1,16337
26,0 days 20:00:00,2017-10-21,United Center,Chicago Bulls,0,2,San Antonio Spurs,2,0,21640
27,0 days 20:00:00,2017-10-21,Quicken Loans Arena,Cleveland Cavaliers,2,1,Orlando Magic,2,1,20562
28,0 days 21:00:00,2017-10-21,Pepsi Center,Denver Nuggets,1,1,Sacramento Kings,1,2,19520
29,0 days 20:00:00,2017-10-21,Toyota Center,Houston Rockets,3,0,Dallas Mavericks,0,3,18055
30,0 days 22:30:00,2017-10-21,STAPLES Center,Los Angeles Clippers,2,0,Phoenix Suns,0,3,19068
31,0 days 20:00:00,2017-10-21,FedEx Forum,Memphis Grizzlies,2,0,Golden State Warriors,1,2,17794
32,0 days 20:00:00,2017-10-21,AmericanAirlines Arena,Miami Heat,1,1,Indiana Pacers,1,2,19600
33,0 days 20:30:00,2017-10-21,BMO Harris Bradley Center,Milwaukee Bucks,2,1,Portland Trail Blazers,2,1,16211
34,0 days 20:00:00,2017-10-21,Madison Square Garden (IV),New York Knicks,0,2,Detroit Pistons,2,1,19812
35,0 days 19:30:00,2017-10-21,Air Canada Centre,Toronto Raptors,2,0,Philadelphia 76ers,0,3,19800
36,0 days 21:00:00,2017-10-21,Vivint Smart Home Arena,Utah Jazz,2,1,Oklahoma City Thunder,1,1,18300
37,0 days 15:30:00,2017-10-22,Barclays Center,Brooklyn Nets,2,1,Atlanta Hawks,1,2,13917
38,0 days 21:30:00,2017-10-22,STAPLES Center,Los Angeles Lakers,1,2,New Orleans Pelicans,1,2,18997
39,0 days 19:00:00,2017-10-22,Chesapeake Energy Arena,Oklahoma City Thunder,1,2,Minnesota Timberwolves,2,1,18203
40,0 days 20:30:00,2017-10-23,American Airlines Center,Dallas Mavericks,0,4,Golden State Warriors,2,2,19875
41,0 days 21:00:00,2017-10-23,Pepsi Center,Denver Nuggets,1,2,Washington Wizards,3,0,14294
42,0 days 19:00:00,2017-10-23,Little Caesars Arena,Detroit Pistons,2,2,Philadelphia 76ers,1,3,13709
43,0 days 20:00:00,2017-10-23,Toyota Center,Houston Rockets,3,1,Memphis Grizzlies,3,0,17129
44,0 days 19:30:00,2017-10-23,AmericanAirlines Arena,Miami Heat,2,1,Atlanta Hawks,1,3,19600
45,0 days 20:00:00,2017-10-23,BMO Harris Bradley Center,Milwaukee Bucks,3,1,Charlotte Hornets,1,2,12887
46,0 days 22:00:00,2017-10-23,Talking Stick Resort Arena,Phoenix Suns,1,3,Sacramento Kings,1,3,14903
47,0 days 20:30:00,2017-10-23,AT&T Center,San Antonio Spurs,3,0,Toronto Raptors,2,1,18418
48,0 days 19:30:00,2017-10-24,TD Garden,Boston Celtics,2,2,New York Knicks,0,3,18624
49,0 days 19:00:00,2017-10-24,Quicken Loans Arena,Cleveland Cavaliers,3,1,Chicago Bulls,0,3,20562
50,0 days 22:30:00,2017-10-24,STAPLES Center,Los Angeles Clippers,3,0,Utah Jazz,2,2,16607
51,0 days 20:00:00,2017-10-24,Target Center,Minnesota Timberwolves,2,2,Indiana Pacers,2,2,14353
52,0 days 19:00:00,2017-10-24,Amway Center,Orlando Magic,3,1,Brooklyn Nets,2,2,16015
53,0 days 22:00:00,2017-10-24,Moda Center,Portland Trail Blazers,3,1,New Orleans Pelicans,1,3,19446
54,0 days 19:30:00,2017-10-25,Barclays Center,Brooklyn Nets,3,2,Cleveland Cavaliers,3,2,17732
55,0 days 19:00:00,2017-10-25,Spectrum Center,Charlotte Hornets,2,2,Denver Nuggets,1,3,14253
56,0 days 20:30:00,2017-10-25,American Airlines Center,Dallas Mavericks,1,4,Memphis Grizzlies,3,1,19674
57,0 days 19:00:00,2017-10-25,Little Caesars Arena,Detroit Pistons,3,2,Minnesota Timberwolves,2,3,13790
58,0 days 22:30:00,2017-10-25,Oracle Arena,Golden State Warriors,3,2,Toronto Raptors,2,2,19596
59,0 days 22:30:00,2017-10-25,STAPLES Center,Los Angeles Lakers,2,2,Washington Wizards,3,1,18996
